,Compound,Count,Date
513,0.6727,1,2017-12-22
514,0.854,1,2017-12-21
515,0.4376,1,2017-12-21
516,0.9013,1,2017-12-21
517,0.6982,1,2017-12-21
518,-0.919,1,2017-12-21
519,0.729,1,2017-12-20
520,0.628,1,2017-12-20
521,0.729,1,2017-12-20
522,0.8379,1,2017-12-20
523,0.2223,1,2017-12-20
524,0.1027,1,2017-12-20
525,0.8883,1,2017-12-19
526,0.8821,1,2017-12-19
527,0.8675,1,2017-12-19
528,0.729,1,2017-12-19
529,0.7184,1,2017-12-19
530,0.762,1,2017-12-18
531,0.658,1,2017-12-18
532,0.4199,1,2017-12-18
533,0.5244,1,2017-12-18
534,-0.7234,1,2017-12-18
535,0.8283,1,2017-12-18
536,0.8805,1,2017-12-18
537,0.3597,1,2017-12-18
538,0.4767,1,2017-12-18
539,-0.2225,1,2017-12-18
540,0.0,1,2017-12-18
541,0.68,1,2017-12-18
542,0.9382,1,2017-12-18
543,0.831,1,2017-12-17
544,-0.0857,1,2017-12-17
545,0.0,1,2017-12-16
546,0.3091,1,2017-12-16
547,0.9633,1,2017-12-16
548,0.8172,1,2017-12-16
549,-0.0644,1,2017-12-16
550,-0.296,1,2017-12-16
551,0.1027,1,2017-12-16
552,0.0,1,2017-12-16
553,0.9406,1,2017-12-15
554,0.9388,1,2017-12-15
555,0.7118,1,2017-12-15
556,0.7734,1,2017-12-15
557,0.0,1,2017-12-14
558,0.5423,1,2017-12-14
559,0.9011,1,2017-12-14
560,0.7906,1,2017-12-14
561,-0.7978,1,2017-12-14
562,0.914,1,2017-12-14
563,0.2228,1,2017-12-14
564,0.8478,1,2017-12-13
565,0.7983,1,2017-12-13
566,-0.4199,1,2017-12-13
567,0.4374,1,2017-12-13
568,0.9668,1,2017-12-13
569,0.9451,1,2017-12-12
570,0.3595,1,2017-12-12
571,-0.945,1,2017-12-12
572,-0.68,1,2017-12-12
573,-0.401,1,2017-12-12
574,-0.9272,1,2017-12-11
575,-0.8478,1,2017-12-10
576,0.7705,1,2017-12-10
577,-0.4763,1,2017-12-10
578,0.5216,1,2017-12-10
579,0.9229,1,2017-12-09
580,0.9523,1,2017-12-09
581,-0.9076,1,2017-12-09
582,-0.7371,1,2017-12-09
583,0.9157,1,2017-12-09
584,0.9769,1,2017-12-09
585,0.8832,1,2017-12-09
586,0.7102,1,2017-12-09
587,-0.9403,1,2017-12-09
588,0.8653,1,2017-12-09
589,0.9551,1,2017-12-09
590,0.7734,1,2017-12-09
591,-0.6188,1,2017-12-09
592,0.3595,1,2017-12-09
593,0.0,1,2017-12-08
594,-0.9325,1,2017-12-08
595,0.729,1,2017-12-08
596,-0.8833,1,2017-12-08
597,-0.4926,1,2017-12-08
598,0.6892,1,2017-12-08
599,0.6588,1,2017-12-08
600,0.9427,1,2017-12-08
601,-0.743,1,2017-12-07
602,0.8636,1,2017-12-07
603,0.4939,1,2017-12-07
604,0.9496,1,2017-12-07
605,0.0,1,2017-12-07
606,0.0,1,2017-12-07
607,0.4404,1,2017-12-07
608,0.0,1,2017-12-07
609,0.0,1,2017-12-07
610,0.34,1,2017-12-06
611,0.296,1,2017-12-06
612,0.7798,1,2017-12-06
613,0.6588,1,2017-12-06
614,0.0,1,2017-12-06
615,0.3595,1,2017-12-05
616,0.9713,1,2017-12-05
617,0.8687,1,2017-12-04
618,0.5983,1,2017-12-04
619,-0.3987,1,2017-12-04
620,-0.8353,1,2017-12-04
621,0.0,1,2017-12-03
622,-0.9373,1,2017-12-03
623,-0.906,1,2017-12-03
624,0.0,1,2017-12-03
625,0.5707,1,2017-12-03
626,-0.1027,1,2017-12-03
627,0.2023,1,2017-12-03
628,-0.7769,1,2017-12-03
629,0.0,1,2017-12-03
630,-0.7082,1,2017-12-03
631,-0.8221,1,2017-12-03
632,0.6476,1,2017-12-03
633,-0.9311,1,2017-12-03
634,0.6588,1,2017-12-03
635,0.5267,1,2017-12-02
636,-0.9095,1,2017-12-02
637,0.784,1,2017-12-02
638,0.5707,1,2017-12-02
639,0.0516,1,2017-12-01
640,-0.6154,1,2017-12-01
641,0.0,1,2017-12-01
642,0.7959,1,2017-12-01
643,-0.6665,1,2017-12-01
644,-0.8553,1,2017-12-01
645,-0.8749,1,2017-12-01
646,0.8899,1,2017-12-01
647,0.9263,1,2017-12-01
648,0.0,1,2017-11-30
649,0.8979,1,2017-11-30
650,0.8236,1,2017-11-30
651,0.6696,1,2017-11-30
652,0.8976,1,2017-11-30
653,-0.8288,1,2017-11-30
654,-0.69,1,2017-11-30
655,-0.3164,1,2017-11-30
656,0.1759,1,2017-11-30
657,-0.5423,1,2017-11-30
658,0.7335,1,2017-11-30
659,-0.6239,1,2017-11-30
660,-0.7424,1,2017-11-30
661,-0.7424,1,2017-11-30
662,0.7556,1,2017-11-30
663,0.8439,1,2017-11-29
664,0.8221,1,2017-11-29
665,0.5939,1,2017-11-29
666,-0.2064,1,2017-11-29
667,-0.1511,1,2017-11-29
668,-0.7052,1,2017-11-29
669,-0.7052,1,2017-11-29
670,-0.7407,1,2017-11-29
671,0.9184,1,2017-11-29
672,-0.5255,1,2017-11-29
673,-0.636,1,2017-11-29
674,-0.5983,1,2017-11-29
675,0.0,1,2017-11-29
676,0.0,1,2017-11-29
677,0.0,1,2017-11-29
678,0.9299,1,2017-11-29
679,0.6588,1,2017-11-29
680,0.784,1,2017-11-29
681,0.1494,1,2017-11-29
682,-0.2767,1,2017-11-29
683,0.5719,1,2017-11-28
684,0.8176,1,2017-11-28
685,0.0,1,2017-11-28
686,0.128,1,2017-11-28
687,0.0,1,2017-11-28
688,0.6908,1,2017-11-28
689,-0.908,1,2017-11-28
690,0.8316,1,2017-11-28
691,0.96,1,2017-11-28
692,0.5106,1,2017-11-28
693,0.6114,1,2017-11-28
694,0.9493,1,2017-11-28
695,-0.7707,1,2017-11-28
696,0.4199,1,2017-11-28
697,0.6291,1,2017-11-28
698,0.8839,1,2017-11-27
699,0.4753,1,2017-11-27
700,-0.8185,1,2017-11-27
701,0.945,1,2017-11-27
702,0.5893,1,2017-11-26
703,-0.2123,1,2017-11-26
704,-0.9587,1,2017-11-26
705,0.7558,1,2017-11-25
706,0.0761,1,2017-11-25
707,-0.6588,1,2017-11-25
708,-0.8553,1,2017-11-25
709,0.8955,1,2017-11-25
710,0.7959,1,2017-11-24
711,-0.8376,1,2017-11-24
712,-0.9123,1,2017-11-24
713,0.4003,1,2017-11-24
714,-0.4389,1,2017-11-24
715,-0.4427,1,2017-11-24
716,0.6588,1,2017-11-24
717,0.8588,1,2017-11-24
718,0.0,1,2017-11-24
719,0.2263,1,2017-11-24
720,-0.5975,1,2017-11-23
721,0.8932,1,2017-11-23
722,0.6932,1,2017-11-23
723,0.0,1,2017-11-23
724,0.6588,1,2017-11-23
725,0.729,1,2017-11-23
726,0.9564,1,2017-11-23
727,0.2481,1,2017-11-23
728,0.7424,1,2017-11-22
729,0.1511,1,2017-11-22
730,0.7644,1,2017-11-22
731,0.1531,1,2017-11-22
732,0.7902,1,2017-11-22
733,0.0,1,2017-11-22
734,-0.7096,1,2017-11-22
735,0.3802,1,2017-11-22
736,-0.7909,1,2017-11-22
737,-0.8311,1,2017-11-22
738,-0.68,1,2017-11-22
739,0.8225,1,2017-11-21
740,0.4019,1,2017-11-21
741,-0.6476,1,2017-11-20
742,0.0,1,2017-11-20
743,0.604,1,2017-11-20
744,-0.7644,1,2017-11-20
745,-0.691,1,2017-11-19
746,-0.6938,1,2017-11-19
747,-0.1363,1,2017-11-19
748,0.2244,1,2017-11-19
749,0.5106,1,2017-11-18
750,0.4199,1,2017-11-18
751,-0.55,1,2017-11-18
752,0.4199,1,2017-11-18
753,0.8908,1,2017-11-17
754,-0.765,1,2017-11-17
755,-0.3595,1,2017-11-17
756,0.8203,1,2017-11-17
757,-0.1027,1,2017-11-17
758,-0.5849,1,2017-11-17
759,0.3054,1,2017-11-17
760,0.5513,1,2017-11-16
761,0.6059,1,2017-11-16
762,0.0,1,2017-11-16
763,0.7916,1,2017-11-16
764,0.6705,1,2017-11-16
765,-0.3595,1,2017-11-16
766,-0.7424,1,2017-11-16
767,-0.7644,1,2017-11-15
768,0.8459,1,2017-11-15
769,0.1027,1,2017-11-15
770,0.4199,1,2017-11-15
771,0.4199,1,2017-11-15
772,0.3382,1,2017-11-15
773,-0.9328,1,2017-11-15
774,0.8516,1,2017-11-15
775,0.8777,1,2017-11-15
776,0.4939,1,2017-11-15
777,-0.5423,1,2017-11-15
778,0.2023,1,2017-11-15
779,0.8236,1,2017-11-15
780,0.8673,1,2017-11-15
781,0.2732,1,2017-11-15
782,0.5461,1,2017-11-14
783,0.9428,1,2017-11-14
784,0.7027,1,2017-11-14
785,0.0,1,2017-11-14
786,0.5307,1,2017-11-14
787,0.4753,1,2017-11-14
788,0.7398,1,2017-11-14
789,0.8188,1,2017-11-14
790,-0.6986,1,2017-11-13
791,0.69,1,2017-11-13
792,0.69,1,2017-11-13
793,0.8588,1,2017-11-13
794,0.4199,1,2017-11-12
795,0.7574,1,2017-11-12
796,0.6588,1,2017-11-12
797,0.6588,1,2017-11-12
798,0.1528,1,2017-11-12
799,0.0129,1,2017-11-12
800,0.6893,1,2017-11-12
801,0.5994,1,2017-11-12
802,0.0,1,2017-11-11
803,0.4215,1,2017-11-11
804,0.0,1,2017-11-11
805,0.9425,1,2017-11-11
806,0.7777,1,2017-11-10
807,0.9413,1,2017-11-10
808,0.9413,1,2017-11-10
809,0.8225,1,2017-11-10
810,0.8481,1,2017-11-10
811,0.3612,1,2017-11-10
812,0.9698,1,2017-11-10
813,0.0,1,2017-11-10
814,0.8986,1,2017-11-10
815,0.8968,1,2017-11-09
816,-0.8908,1,2017-11-09
817,0.7297,1,2017-11-09
818,0.8999,1,2017-11-09
819,0.636,1,2017-11-08
820,0.9078,1,2017-11-08
821,-0.661,1,2017-11-08
822,0.184,1,2017-11-08
823,0.0,1,2017-11-08
824,0.8172,1,2017-11-08
825,0.0,1,2017-11-08
826,0.3612,1,2017-11-08
827,0.807,1,2017-11-08
828,0.296,1,2017-11-08
829,0.82,1,2017-11-08
830,0.765,1,2017-11-08
831,0.4199,1,2017-11-07
832,0.8697,1,2017-11-07
833,-0.8858,1,2017-11-07
834,-0.5848,1,2017-11-07
835,-0.7242,1,2017-11-07
836,-0.6017,1,2017-11-07
837,0.8126,1,2017-11-07
838,0.8519,1,2017-11-07
839,0.8074,1,2017-11-07
840,0.0,1,2017-11-07
841,0.0,1,2017-11-07
842,0.0,1,2017-11-06
843,0.8126,1,2017-11-06
844,0.5255,1,2017-11-06
845,0.8999,1,2017-11-06
846,-0.5255,1,2017-11-06
847,0.0,1,2017-11-06
848,0.3818,1,2017-11-06
849,0.2732,1,2017-11-05
850,0.8074,1,2017-11-05
851,0.9027,1,2017-11-05
852,0.6996,1,2017-11-05
853,0.6249,1,2017-11-05
854,0.729,1,2017-11-05
855,0.7827,1,2017-11-04
856,-0.5423,1,2017-11-04
857,0.2942,1,2017-11-04
858,0.8516,1,2017-11-04
859,0.9493,1,2017-11-04
860,0.784,1,2017-11-03
861,-0.4939,1,2017-11-03
862,0.0,1,2017-11-03
863,-0.7088,1,2017-11-03
864,0.0,1,2017-11-03
865,0.2444,1,2017-11-03
866,0.4926,1,2017-11-03
867,-0.5848,1,2017-11-03
