source,text,created_at,retweet_count,favorite_count,is_retweet,id_str,Column1
Media Studio,Join me for my #WeeklyAddress???ß????https://t.co/QeeKnFuHue https://t.co/NnM2jOkEs0,9/29/2017,6411,28982,FALSE,9.13892E+17,85
Twitter for iPhone,@IMPDnews @POTUS THANK YOU to the amazing Indianapolis Metropolitan Police Department and all law enforcement officers for all you do 24/7/365! #LESM https://t.co/XFqxbMBEbP,9/29/2017,1524,4459,FALSE,9.13902E+17,85
Twitter for iPhone,RT @LouDobbs: #AmericaFirst- @KellyannePolls: The Middle Class &amp; businesses will benefit from @POTUS' historic tax revolution. #Dobbs #MAGAÉ??,9/30/2017,5516,0,TRUE,9.13937E+17,85
Twitter for iPhone,RT @FoxNews: TUNE IN: @EricTrump joins @seanhannity TONIGHT at 9p ET on @FoxNews Channel! #Hannityat9 https://t.co/foDzkcAKJe,9/30/2017,2957,0,TRUE,9.13939E+17,85
Twitter for iPhone,RT @EricTrump: Congratulations @SeanHannity! Looking forward to being on the show tonight at 9pmET  Hannity beats Maddow - POLITICO https:/É??,9/30/2017,6000,0,TRUE,9.13939E+17,85
Twitter for iPhone,RT @Scavino45: POTUS' @realDonaldTrump on Hurricane Response Efforts in #PuertoRico on Instagram part of 9/29/17 Weekly Address.???ùhttps://É??,9/30/2017,5593,0,TRUE,9.13939E+17,85
Twitter for iPhone,"RT @Scavino45: ""Manufacturer Optimism Hits Record High After #TaxReform Plan Revealed"" https://t.co/RbVmEe4sqq",9/30/2017,4965,0,TRUE,9.13939E+17,85
Twitter for iPhone,RT @Scavino45: Under POTUS' @realDonaldTrump É??ã?èS&amp;P 500 38th????Record High É??ã?èNASDAQ 44th????Record HighÉ??ã?è#MakeAmericaGreatAgain???ß???? https://t.coÉ??,9/30/2017,8024,0,TRUE,9.1394E+17,85
Twitter for iPhone,RT @Scavino45: #USNSComfort en route to #PuertoRico from Norfolk Virginia to support Hurricane Maria relief efforts. ???ß???????Ê???˙ https://t.co/HWÉ??,9/30/2017,7600,0,TRUE,9.1394E+17,85
Twitter for iPhone,The Mayor of San Juan who was very complimentary only a few days ago has now been told by the Democrats that you must be nasty to Trump.,9/30/2017,21828,69941,FALSE,9.14087E+17,85
Twitter for iPhone,...Such poor leadership ability by the Mayor of San Juan and others in Puerto Rico who are not able to get their workers to help. They....,9/30/2017,15502,56243,FALSE,9.14089E+17,85
Twitter for iPhone,...want everything to be done for them when it should be a community effort. 10000 Federal workers now on Island doing a fantastic job.,9/30/2017,15627,68824,FALSE,9.1409E+17,85
Twitter for iPhone,The military and first responders despite no electric roads phones etc. have done an amazing job. Puerto Rico was totally destroyed.,9/30/2017,13685,62065,FALSE,9.14091E+17,85
Twitter for iPhone,RT @USCGSoutheast: .@USCG crews worked together with the @RedCross @fema and members of local #police #fire and #government to distributÉ??,9/30/2017,8730,0,TRUE,9.14091E+17,85
Twitter for iPhone,RT @usairforce: É?≠ã?è É??#AirForce relief efforts in #PuertoRico &amp; #VirginIslandsÉ?ùhttps://t.co/gonmsZusSe,9/30/2017,7423,0,TRUE,9.14092E+17,85
Twitter for iPhone,RT @DeptofDefense: VIDEO: Elements of the #DoD and @FEMA are providing humanitarian relief for #PuertoRico ???Ê???˙  and #USVI ???Ø???? . https://t.co/É??,9/30/2017,7095,0,TRUE,9.14093E+17,85
Twitter for iPhone,RT @FLOTUS: Thank you to all who participated in today's discussion on opioid abuse. By talking about it we can start to make a real diffeÉ??,9/30/2017,10892,0,TRUE,9.14093E+17,85
Twitter for iPhone,"Fake News CNN and NBC are going out of their way to disparage our great First Responders as a way to ""get Trump."" Not fair to FR or effort!",9/30/2017,20901,80326,FALSE,9.14095E+17,85
Twitter for iPhone,I will be going to Puerto Rico on Tuesday with Melania. Will hopefully be able to stop at the U.S. Virgin Islands (people working hard).,9/30/2017,13824,68989,FALSE,9.14096E+17,85
Twitter for iPhone,The Fake News Networks are working overtime in Puerto Rico doing their best to take the spirit away from our soldiers and first R's. Shame!,9/30/2017,24633,91112,FALSE,9.14099E+17,85
Twitter for iPhone,Despite the Fake News Media in conjunction with the Dems an amazing job is being done in Puerto Rico. Great people!,9/30/2017,16910,76847,FALSE,9.14189E+17,85
Twitter for iPhone,The Governor of Puerto Rico Ricardo Rossello is a great guy and leader who is really working hard. Thank you Ricky!,9/30/2017,14056,66359,FALSE,9.14208E+17,85
Twitter for iPhone,Just spoke to Governor Kenneth Mapp of the U.S. Virgin Islands who stated that #FEMA and Military are doing a GREAT job! Thank you Governor!,9/30/2017,13429,60555,FALSE,9.14211E+17,85
Twitter for iPhone,Congresswoman Jennifer Gonzalez-Colon of Puerto Rico has been wonderful to deal with and a great representative of the people. Thank you!,9/30/2017,12916,62251,FALSE,9.14214E+17,85
Twitter for iPhone,To the people of Puerto Rico:Do not believe the #FakeNews!#PRStrong???Ê???˙,9/30/2017,16067,63449,FALSE,9.14217E+17,85
Twitter for iPhone,My Administration Governor @RicardoRossello and many others are working together to help the people of Puerto Rico in every way...,9/30/2017,9861,46164,FALSE,9.14217E+17,85
Twitter for iPhone,@ricardorossello ......#FakeNews critics are working overtime but we're getting great marks from the people that truly matter! #PRStrong???Ê???˙,9/30/2017,7855,35928,FALSE,9.14217E+17,85
Twitter for iPhone,We must all be united in offering assistance to everyone suffering in Puerto Rico and elsewhere in the wake of this terrible disaster.,9/30/2017,13930,67512,FALSE,9.14218E+17,85
Twitter for iPhone,Results of recovery efforts will speak much louder than complaints by San Juan Mayor. Doing everything we can to help great people of PR!,9/30/2017,17587,77057,FALSE,9.14228E+17,85
Twitter for iPhone,I will be in PR on Tues. to further ensure we continue doing everything possible to assist &amp; support the people in their time of great need.,9/30/2017,13067,66915,FALSE,9.14252E+17,85
Twitter for iPhone,Very important that NFL players STAND tomorrow and always for the playing of our National Anthem. Respect our Flag and our Country!,9/30/2017,27313,124557,FALSE,9.14255E+17,85
Media Studio,Because of #FakeNews my people are not getting the credit they deserve for doing a great job. As seen here they are ALL doing a GREAT JOB! https://t.co/1ltW2t3rwy,9/30/2017,32181,93394,FALSE,9.1426E+17,85
Twitter for iPhone,In analyzing the Alabama Primary race Fake News always fails to mention that the candidate I endorsed went up MANY points after Election!,9/30/2017,294,1416,FALSE,9.14268E+17,85
Twitter for iPhone,In analyzing the Alabama Primary raceFAKE NEWS always fails to mention that the candidate I endorsed went up MANY points after endorsement!,9/30/2017,7441,47140,FALSE,9.1427E+17,85
Twitter for iPhone,19000 RESPECTING our National Anthem! #StandForOurAnthem???ß???? https://t.co/czutyGaMQV,10/1/2017,31731,116343,FALSE,9.14311E+17,85
Twitter for iPhone,RT @SLandinSoCal: When you kneel for our #NationalAnthem you aren't protesting a specific issue you are protesting our Nation and EVERYTHÉ??,10/1/2017,17122,0,TRUE,9.14461E+17,85
Twitter for iPhone,We have done a great job with the almost impossible situation in Puerto Rico. Outside of the Fake News or politically motivated ingrates...,10/1/2017,18284,81847,FALSE,9.14465E+17,85
Twitter for iPhone,...people are now starting to recognize the amazing work that has been done by FEMA and our great Military. All buildings now inspected.....,10/1/2017,16034,80679,FALSE,9.14467E+17,85
Twitter for iPhone,...for safety. Thank you to the Governor of P.R. and to all of those who are working so closely with our First Responders. Fantastic job!,10/1/2017,14147,75918,FALSE,9.14468E+17,85
Twitter for iPhone,I told Rex Tillerson our wonderful Secretary of State that he is wasting his time trying to negotiate with Little Rocket Man...,10/1/2017,25389,102671,FALSE,9.14498E+17,85
Twitter for iPhone,...Save your energy Rex we'll do what has to be done!,10/1/2017,14060,62997,FALSE,9.14498E+17,85
Twitter for iPhone,Being nice to Rocket Man hasn't worked in 25 years why would it work now? Clinton failed Bush failed and Obama failed. I won't fail.,10/1/2017,47699,188927,FALSE,9.14566E+17,85
Media Studio,Congratulations to #TeamUSA???ß??????è?on your great @PresidentsCup victory! https://t.co/fZeP1e9mo7,10/2/2017,12152,69743,FALSE,9.14662E+17,86
Twitter for iPhone,My warmest condolences and sympathies to the victims and families of the terrible Las Vegas shooting. God bless you!,10/2/2017,75476,317744,FALSE,9.1481E+17,86
Twitter for iPhone,I am so proud of our great Country. God bless America!,10/3/2017,43026,212403,FALSE,9.1518E+17,86
Twitter for iPhone,Leaving Puerto Rico now for D.C. Will be in Las Vegas early tomorrow to pay my respects. Everyone is in my thoughts and prayers. https://t.co/dBvZUIUfr0,10/3/2017,13863,74460,FALSE,9.15326E+17,86
Twitter for iPhone,Great meeting with Governor Mapp of the #USVI. He is very thankful for the great job done by @FEMA and First Responders. https://t.co/AtBGEpDF9C,10/3/2017,7410,38977,FALSE,9.15336E+17,86
Twitter for iPhone,So proud of @FEMA Military and First Responders! Thank you! https://t.co/kWVMqVelri,10/3/2017,12299,59757,FALSE,9.15351E+17,86
Twitter for iPhone,"It is a ""miracle"" how fast the Las Vegas Metropolitan Police were able to find the demented shooter and stop him from even more killing!",10/4/2017,16656,104356,FALSE,9.15371E+17,86
Twitter for iPhone,RT @Jenniffer2012: Thank you @realDonaldTrump for all the help you are providing for Puerto Rico. WeÉ??re are grateful and happy to welcome yÉ??,10/4/2017,14844,0,TRUE,9.15372E+17,86
Twitter for iPhone,RT @billoreilly: FNC dominated ratings last night. MSNBC-disaster demonstrating folks don't trust the network. https://t.co/rryWmyXe7C toniÉ??,10/4/2017,8211,0,TRUE,9.15372E+17,86
Twitter for iPhone,RT @IvankaTrump: 3/4: This Administration is deeply committed to those who serve &amp; their families who make it possible through their love aÉ??,10/4/2017,8271,0,TRUE,9.15373E+17,86
Twitter for iPhone,RT @seanhannity: Tonight the truth about how despicable the media and the left are in America today. We will name names. 9 est Hannity FoxÉ??,10/4/2017,11139,0,TRUE,9.15373E+17,86
Twitter for iPhone,RT @PressSec: .@POTUS and @FLOTUS meet w/ some of America's finest on the USS Kearsarge off the coast of PR. https://t.co/sR3Jd6rvNK,10/4/2017,8574,0,TRUE,9.15373E+17,86
Twitter for iPhone,My Administration will continue to work around the clock with Governor @RicardoRossello &amp; his team. Great progress being made! #PRStrong???Ê???˙ https://t.co/1aL9YrwTvC,10/4/2017,14309,66953,FALSE,9.15379E+17,86
Twitter for iPhone,A great day in Puerto Rico yesterday. While some of the news coverage is Fake most showed great warmth and friendship.,10/4/2017,14940,88295,FALSE,9.15523E+17,86
Twitter for iPhone,Wow so many Fake News stories today. No matter what I do or say they will not write or speak truth. The Fake News Media is out of control!,10/4/2017,38432,157255,FALSE,9.15539E+17,86
Twitter for iPhone,NBC news is #FakeNews and more dishonest than even CNN. They are a disgrace to good reporting. No wonder their news ratings are way down!,10/4/2017,21975,95643,FALSE,9.15589E+17,86
Twitter for iPhone,The @NBCNews story has just been totally refuted by Sec. Tillerson and @VP Pence. It is #FakeNews. They should issue an apology to AMERICA!,10/4/2017,18225,69909,FALSE,9.15597E+17,86
